scenario,mean_effective_margin,mean_threshold_pressure,mean_tipping_pressure,mean_regime_shift_likelihood,mean_cascade_potential,mean_recovery_difficulty,mean_breakdown_risk,mean_resilience_gap
resilience_before_breakdown,0.7666,0.51005,0.43994464293019364,0.4243111785962658,1.0336263738716747,0.3446775771508051,0.6702315628958055,0.09164123640476238
justice_centered_threshold_avoidance,0.6746,0.5557040000000001,0.5208619143344599,0.4835980508737164,1.2694716831127952,0.3889173762795893,0.758521690316905,0.22520822257816284
margin_and_buffer_restoration,0.6958,0.5706720000000001,0.5327715637192313,0.5038123316645386,1.3769345945563163,0.4276419461326524,0.8264912864819617,0.2659462158209955
cascade_containment,0.6345999999999999,0.580589,0.5606768433489293,0.519470126738636,1.2679691289443475,0.4395204405563635,0.8212045738980034,0.3081396389177291
early_warning_and_monitoring,0.6038,0.5988490000000001,0.5959374794695353,0.5534287430196421,1.5320314368808918,0.48305119776628547,0.8751434356833366,0.37227987234323134
baseline,0.4834,0.6422,0.705983518497755,0.6347843962892368,1.8125885740050938,0.5528810068125558,0.9508767780148734,0.5186351934623976
